Client_No,Branch,Gender,D.O.B,Segment,Nationality,JoinDate,Last_transn
776,AGENCE DE BOSTWANA          ,M,2/14/1990,RETAIL                        ,RW,11/28/2018,1/22/2019
777,AGENCE DE BOSTWANA          ,M,4/9/1995,RETAIL                        ,RW,2/13/2019,6/27/2019
778,AGENCE DE BOSTWANA          ,M,2/16/1995,RETAIL                        ,RW,6/13/2018,1/1/1900
779,AGENCE DE BOSTWANA          ,M,1/1/1991,RETAIL                        ,RW,4/9/2015,1/18/2019
780,AGENCE DE BOSTWANA          ,F,8/25/1982,RETAIL                        ,RW,1/28/2015,4/26/2016
781,AGENCE DE BOSTWANA          ,M,6/15/1992,RETAIL                        ,RW,10/24/2017,7/10/2019
782,AGENCE DE BOSTWANA          ,M,1/1/1995,RETAIL                        ,RW,10/24/2017,7/1/2019
783,AGENCE DE BOSTWANA          ,F,4/2/1997,RETAIL                        ,RW,1/21/2019,3/15/2019
784,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,6/20/2016,7/12/2019
785,AGENCE DE BOSTWANA          ,M,3/12/1994,RETAIL                        ,RW,11/28/2018,7/15/2019
786,AGENCE DE BOSTWANA          ,M,6/26/1996,RETAIL                        ,RW,5/19/2016,6/8/2017
787,AGENCE DE BOSTWANA          ,F,1/1/1982,RETAIL                        ,RW,6/8/2018,10/15/2018
788,AGENCE DE BOSTWANA          ,M,12/1/1993,RETAIL                        ,RW,11/5/2018,12/24/2018
789,AGENCE DE BOSTWANA          ,F,2/19/1991,RETAIL                        ,IN,10/1/2014,1/2/2017
790,AGENCE DE BOSTWANA          ,F,8/25/1981,RETAIL                        ,RW,8/1/2012,1/21/2016
791,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,9/12/2018,3/26/2019
792,AGENCE DE BOSTWANA          ,M,7/18/1984,RETAIL                        ,BD,1/31/2019,7/5/2019
793,AGENCE DE BOSTWANA          ,M,1/1/1996,RETAIL                        ,RW,3/21/2018,7/20/2018
794,AGENCE DE BOSTWANA          ,M,1/1/1990,RETAIL                        ,RW,12/19/2017,1/1/1900
795,AGENCE DE BOSTWANA          ,M,9/20/1989,RETAIL                        ,RW,4/23/2014,6/2/2016
796,AGENCE DE BOSTWANA          ,M,5/17/1996,RETAIL                        ,RW,8/13/2018,7/15/2019
797,AGENCE DE BOSTWANA          ,M,1/1/1990,RETAIL                        ,RW,7/16/2018,7/3/2019
798,AGENCE DE BOSTWANA          ,M,1/19/1985,RETAIL                        ,ET,1/2/2019,7/9/2019
799,AGENCE DE BOSTWANA          ,M,1/1/1996,RETAIL                        ,RW,10/26/2017,3/18/2019
800,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,7/16/2018,3/28/2019
801,AGENCE DE BOSTWANA          ,M,1/1/1900,RETAIL                        ,RW,6/12/2014,3/9/2015
802,AGENCE DE BOSTWANA          ,M,10/19/1992,RETAIL                        ,RW,2/11/2014,8/21/2017
803,AGENCE DE BOSTWANA          ,M,1/1/1988,RETAIL                        ,RW,8/1/2016,12/27/2016
804,AGENCE DE BOSTWANA          ,M,1/1/1982,RETAIL                        ,RW,1/14/2014,6/20/2016
805,AGENCE DE BOSTWANA          ,F,8/1/1974,RETAIL                        ,RW,10/22/2012,7/11/2019
806,AGENCE DE BOSTWANA          ,M,1/1/1976,RETAIL                        ,RW,5/10/2013,7/15/2019
807,AGENCE DE BOSTWANA          ,M,1/1/1994,RETAIL                        ,RW,10/25/2017,1/29/2018
808,AGENCE DE BOSTWANA          ,F,1/1/1988,RETAIL                        ,RW,10/4/2018,7/15/2019
809,AGENCE DE BOSTWANA          ,M,12/1/1989,RETAIL                        ,RW,8/17/2012,7/15/2019
810,AGENCE DE BOSTWANA          ,M,1/1/1986,RETAIL                        ,RW,8/17/2012,1/21/2016
811,AGENCE DE BOSTWANA          ,M,1/10/1980,RETAIL                        ,RW,6/22/2018,11/16/2018
812,AGENCE DE BOSTWANA          ,M,4/1/1986,RETAIL                        ,CD,11/2/2017,7/9/2019
813,AGENCE DE BOSTWANA          ,F,12/9/1954,RETAIL                        ,RW,5/14/2018,7/15/2019
814,AGENCE DE BOSTWANA          ,F,4/16/1992,RETAIL                        ,RW,4/20/2015,7/3/2019
815,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,5/17/2016,12/8/2016
816,AGENCE DE BOSTWANA          ,M,11/30/2001,RETAIL                        ,RW,12/17/2018,1/21/2019
817,AGENCE DE BOSTWANA          ,M,1/1/1989,RETAIL                        ,RW,8/5/2016,4/25/2019
818,AGENCE DE BOSTWANA          ,M,5/31/1975,RETAIL                        ,RW,11/30/2012,6/24/2019
819,AGENCE DE BOSTWANA          ,M,1/1/1989,RETAIL                        ,RW,10/26/2018,3/8/2019
820,AGENCE DE BOSTWANA          ,M,1/1/1983,RETAIL                        ,RW,7/29/2013,6/30/2014
821,AGENCE DE BOSTWANA          ,F,1/1/1986,RETAIL                        ,RW,7/10/2017,7/15/2019
822,AGENCE DE BOSTWANA          ,M,1/1/1980,RETAIL                        ,RW,7/25/2016,1/14/2019
823,AGENCE DE BOSTWANA          ,F,1/10/1994,RETAIL                        ,RW,9/19/2018,6/6/2019
824,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,4/23/2018,7/15/2019
825,AGENCE DE BOSTWANA          ,M,1/1/1976,RETAIL                        ,RW,3/13/2019,1/1/1900
826,AGENCE DE BOSTWANA          ,M,6/9/1994,RETAIL                        ,RW,3/15/2019,6/28/2019
827,AGENCE DE BOSTWANA          ,F,5/22/1987,RETAIL                        ,RW,8/13/2012,7/5/2019
828,AGENCE DE BOSTWANA          ,M,10/5/1956,RETAIL                        ,RW,1/7/2013,3/30/2016
829,AGENCE DE BOSTWANA          ,M,1/1/1996,RETAIL                        ,RW,11/21/2017,2/5/2018
830,AGENCE DE BOSTWANA          ,M,6/23/1999,RETAIL                        ,RW,8/22/2018,2/15/2019
831,AGENCE DE BOSTWANA          ,M,1/1/1988,RETAIL                        ,RW,11/8/2012,12/1/2015
832,AGENCE DE BOSTWANA          ,M,1/1/1948,RETAIL                        ,RW,11/5/2015,7/10/2019
833,AGENCE DE BOSTWANA          ,M,11/13/1984,RETAIL                        ,RW,11/14/2017,1/11/2018
834,AGENCE DE BOSTWANA          ,M,1/1/1985,RETAIL                        ,RW,10/26/2017,7/12/2019
835,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,7/19/2018,3/4/2019
836,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,2/16/2015,12/29/2015
837,AGENCE DE BOSTWANA          ,F,1/1/1987,RETAIL                        ,RW,9/20/2012,7/3/2019
838,AGENCE DE BOSTWANA          ,F,11/7/1976,RETAIL                        ,RW,12/2/2013,4/19/2019
839,AGENCE DE BOSTWANA          ,M,12/20/1985,RETAIL                        ,RW,6/26/2012,1/21/2016
840,AGENCE DE BOSTWANA          ,M,4/13/1999,RETAIL                        ,RW,3/11/2019,7/9/2019
841,AGENCE DE BOSTWANA          ,M,3/10/1991,RETAIL                        ,RW,2/11/2014,6/12/2014
842,AGENCE DE BOSTWANA          ,M,4/30/1982,RETAIL                        ,RW,9/11/2012,7/1/2019
843,AGENCE DE BOSTWANA          ,F,1/1/1996,RETAIL                        ,RW,4/23/2018,1/17/2019
844,AGENCE DE BOSTWANA          ,M,6/16/1988,RETAIL                        ,RW,5/13/2015,4/9/2018
845,AGENCE DE BOSTWANA          ,M,10/11/1977,RETAIL                        ,BI,1/19/2018,7/5/2019
846,AGENCE DE BOSTWANA          ,M,1/1/1978,RETAIL                        ,RW,10/16/2015,11/11/2015
847,AGENCE DE BOSTWANA          ,M,6/29/1994,RETAIL                        ,RW,5/29/2018,1/1/1900
848,AGENCE DE BOSTWANA          ,F,9/10/1969,RETAIL                        ,RW,9/25/2015,7/15/2019
849,AGENCE DE BOSTWANA          ,M,7/25/1965,RETAIL                        ,RW,1/7/2013,6/30/2017
850,AGENCE DE BOSTWANA          ,F,10/20/1967,RETAIL                        ,RW,8/9/2013,1/5/2016
851,AGENCE DE BOSTWANA          ,M,8/11/1984,RETAIL                        ,RW,8/9/2012,2/26/2014
852,AGENCE DE BOSTWANA          ,F,1/1/1994,RETAIL                        ,RW,2/12/2018,7/1/2019
853,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,10/24/2016,7/8/2019
854,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,11/14/2013,7/15/2019
855,AGENCE DE BOSTWANA          ,F,1/1/1986,RETAIL                        ,RW,11/22/2017,12/17/2018
856,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,8/26/2014,12/22/2017
857,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,4/9/2018,7/5/2019
858,AGENCE DE BOSTWANA          ,M,2/17/1987,RETAIL                        ,RW,9/22/2016,11/30/2016
859,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,4/22/2019,7/12/2019
860,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,4/22/2019,7/12/2019
861,AGENCE DE BOSTWANA          ,M,9/10/1963,RETAIL                        ,RW,12/19/2012,7/15/2019
862,AGENCE DE BOSTWANA          ,M,1/1/1993,RETAIL                        ,RW,11/2/2017,7/15/2019
863,AGENCE DE BOSTWANA          ,M,1/1/1991,RETAIL                        ,RW,8/26/2015,9/19/2018
864,AGENCE DE BOSTWANA          ,M,5/6/1977,RETAIL                        ,RW,7/3/2013,9/7/2015
865,AGENCE DE BOSTWANA          ,M,1/1/1998,RETAIL                        ,RW,1/23/2019,7/15/2019
866,AGENCE DE BOSTWANA          ,M,6/26/1983,RETAIL                        ,RW,5/30/2017,5/30/2017
867,AGENCE DE BOSTWANA          ,M,4/13/1985,RETAIL                        ,ET,5/8/2019,7/8/2019
868,AGENCE DE BOSTWANA          ,F,1/2/1964,RETAIL                        ,RW,3/4/2015,1/2/2017
869,AGENCE DE BOSTWANA          ,F,1/9/1980,RETAIL                        ,RW,1/13/2017,4/17/2019
870,AGENCE DE BOSTWANA          ,M,1/1/1983,RETAIL                        ,RW,11/2/2017,7/8/2019
871,AGENCE DE BOSTWANA          ,M,1/1/1960,RETAIL                        ,RW,7/25/2013,6/30/2014
872,AGENCE DE BOSTWANA          ,M,1/1/1988,RETAIL                        ,RW,11/4/2013,6/28/2019
873,AGENCE DE BOSTWANA          ,F,12/29/1979,RETAIL                        ,RW,8/16/2012,11/27/2015
874,AGENCE DE BOSTWANA          ,M,1/1/1974,RETAIL                        ,RW,7/25/2016,2/21/2019
875,AGENCE DE BOSTWANA          ,M,5/14/1985,RETAIL                        ,RW,2/8/2016,4/9/2018
876,AGENCE DE BOSTWANA          ,M,8/30/1989,RETAIL                        ,AN,3/2/2015,10/10/2016
877,AGENCE DE BOSTWANA          ,M,1/1/1981,RETAIL                        ,RW,8/5/2016,11/23/2018
878,AGENCE DE BOSTWANA          ,M,1/1/1993,RETAIL                        ,RW,1/17/2019,3/8/2019
879,AGENCE DE BOSTWANA          ,F,8/18/1982,RETAIL                        ,RW,3/11/2019,7/3/2019
880,AGENCE DE BOSTWANA          ,M,9/24/1989,RETAIL                        ,RW,4/20/2015,1/2/2017
881,AGENCE DE BOSTWANA          ,M,2/2/1989,RETAIL                        ,RW,3/27/2019,7/10/2019
882,AGENCE DE BOSTWANA          ,F,12/1/1978,RETAIL                        ,RW,10/22/2012,6/30/2014
883,AGENCE DE BOSTWANA          ,M,4/20/1962,RETAIL                        ,RW,11/29/2018,11/29/2018
884,AGENCE DE BOSTWANA          ,M,11/15/1967,RETAIL                        ,US,12/29/2014,6/15/2018
885,AGENCE DE BOSTWANA          ,F,10/29/1963,RETAIL                        ,RW,1/3/2014,10/22/2015
886,AGENCE DE BOSTWANA          ,M,1/1/1983,RETAIL                        ,RW,11/2/2017,2/12/2019
887,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,5/2/2019,7/15/2019
888,AGENCE DE BOSTWANA          ,M,7/4/1989,RETAIL                        ,RW,10/30/2014,1/1/1900
889,AGENCE DE BOSTWANA          ,M,9/10/1997,RETAIL                        ,RW,11/30/2017,1/22/2018
890,AGENCE DE BOSTWANA          ,M,1/1/1980,RETAIL                        ,RW,10/26/2018,2/15/2019
891,AGENCE DE BOSTWANA          ,M,5/21/1987,RETAIL                        ,RW,6/12/2014,3/25/2019
892,AGENCE DE BOSTWANA          ,M,1/1/1980,SMEs-Small& medium enterp-CORP,RW,3/21/2019,1/1/1900
893,AGENCE DE BOSTWANA          ,F,1/1/1989,RETAIL                        ,RW,4/1/2019,5/13/2019
894,AGENCE DE BOSTWANA          ,M,8/11/1987,SMEs-Small& medium enterp-CORP,RW,10/12/2018,12/24/2018
895,AGENCE DE BOSTWANA          ,M,1/1/1982,RETAIL                        ,RW,5/30/2017,5/30/2017
896,AGENCE DE BOSTWANA          ,M,1/1/1990,SMEs-Small& medium enterp-CORP,RW,11/1/2017,10/8/2018
897,AGENCE DE BOSTWANA          ,M,8/28/1942,SMEs-Small& medium enterp-CORP,RW,2/20/2017,6/21/2019
898,AGENCE DE BOSTWANA          ,C,1/1/1900,RETAIL                        ,RW,10/19/2016,10/24/2016
899,AGENCE DE BOSTWANA          ,M,10/2/1985,SMEs-Small& medium enterp-CORP,RW,7/21/2015,1/2/2017
900,AGENCE DE BOSTWANA          ,F,1/1/1988,RETAIL                        ,RW,11/6/2018,3/4/2019
901,AGENCE DE BOSTWANA          ,M,3/2/1990,SMEs-Small& medium enterp-CORP,RW,10/24/2017,7/1/2019
902,AGENCE DE BOSTWANA          ,M,1/1/1987,SMEs-Small& medium enterp-CORP,RW,6/19/2012,7/15/2019
903,AGENCE DE BOSTWANA          ,F,5/25/1987,SMEs-Small& medium enterp-CORP,RW,6/25/2018,7/11/2019
904,AGENCE DE BOSTWANA          ,F,10/13/1998,SMEs-Small& medium enterp-CORP,RW,11/19/2018,1/24/2019
905,AGENCE DE BOSTWANA          ,M,6/17/1992,SMEs-Small& medium enterp-CORP,RW,6/13/2018,1/1/1900
906,AGENCE DE BOSTWANA          ,F,2/27/1959,SMEs-Small& medium enterp-CORP,RW,9/4/2015,7/8/2019
907,AGENCE DE BOSTWANA          ,C,1/1/1900,SMEs-Small& medium enterp-CORP,RW,10/4/2018,7/9/2019
908,AGENCE DE BOSTWANA          ,M,1/1/1994,SMEs-Small& medium enterp-CORP,RW,8/29/2013,7/1/2019
909,AGENCE DE BOSTWANA          ,F,12/11/1959,SMEs-Small& medium enterp-CORP,BI,11/20/2018,12/3/2018
910,AGENCE DE BOSTWANA          ,C,1/1/1900,SMEs-Small& medium enterp-CORP,RW,6/5/2018,5/6/2019
911,AGENCE DE BOSTWANA          ,M,1/1/1955,SMEs-Small& medium enterp-CORP,RW,6/19/2017,8/7/2017
912,AGENCE DE BOSTWANA          ,M,12/8/1998,RETAIL                        ,RW,11/2/2017,7/30/2018
913,AGENCE DE BOSTWANA          ,F,1/1/1994,SMEs-Small& medium enterp-CORP,RW,11/2/2017,7/10/2019
914,AGENCE DE BOSTWANA          ,M,5/3/1989,SMEs-Small& medium enterp-CORP,RW,4/26/2016,7/15/2019
915,AGENCE DE BOSTWANA          ,M,1/1/1996,SMEs-Small& medium enterp-CORP,RW,10/26/2017,7/15/2019
916,AGENCE DE BOSTWANA          ,F,1/1/1999,SMEs-Small& medium enterp-CORP,RW,1/31/2019,7/9/2019
917,AGENCE DE BOSTWANA          ,M,11/10/1969,SMEs-Small& medium enterp-CORP,RW,2/25/2016,7/5/2019
918,AGENCE DE BOSTWANA          ,F,5/13/1987,SMEs-Small& medium enterp-CORP,RW,11/21/2016,11/7/2017
919,AGENCE DE BOSTWANA          ,M,1/1/1983,SMEs-Small& medium enterp-CORP,RW,8/11/2016,5/28/2019
920,AGENCE DE BOSTWANA          ,M,3/23/1983,SMEs-Small& medium enterp-CORP,RW,10/23/2012,7/10/2014
921,AGENCE DE BOSTWANA          ,M,11/3/1984,SMEs-Small& medium enterp-CORP,RW,5/26/2016,6/21/2017
922,AGENCE DE BOSTWANA          ,M,9/1/1982,SMEs-Small& medium enterp-CORP,RW,3/18/2014,12/29/2015
923,AGENCE DE BOSTWANA          ,F,5/20/1958,SMEs-Small& medium enterp-CORP,RW,4/26/2017,3/29/2018
924,AGENCE DE BOSTWANA          ,M,2/10/1976,SMEs-Small& medium enterp-CORP,RW,7/29/2016,12/17/2018
925,AGENCE DE BOSTWANA          ,F,5/1/1970,RETAIL                        ,RW,9/27/2013,2/26/2014
926,AGENCE DE BOSTWANA          ,M,1/1/1958,SMEs-Small& medium enterp-CORP,RW,8/1/2012,6/30/2017
927,AGENCE DE BOSTWANA          ,F,3/16/2001,SMEs-Small& medium enterp-CORP,RW,5/28/2019,7/11/2019
928,AGENCE DE BOSTWANA          ,M,6/3/1995,MICRO ENTERPRISES             ,CA,2/7/2018,7/15/2019
929,AGENCE DE BOSTWANA          ,F,1/1/1995,MICRO ENTERPRISES             ,RW,6/18/2019,1/1/1900
930,AGENCE DE MADAGASCAR       ,M,11/1/1985,RETAIL                        ,RW,7/30/2012,6/30/2014
931,AGENCE DE MADAGASCAR       ,M,1/1/1998,RETAIL                        ,RW,12/3/2018,5/20/2019
932,AGENCE DE MADAGASCAR       ,F,2/28/1986,RETAIL                        ,RW,3/26/2019,4/12/2019
933,AGENCE DE MADAGASCAR       ,M,1/1/1988,RETAIL                        ,RW,1/25/2018,2/13/2019
934,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,8/23/2016,10/10/2016
935,AGENCE DE MADAGASCAR       ,F,12/25/1979,RETAIL                        ,RW,10/23/2018,11/28/2018
936,AGENCE DE MADAGASCAR       ,F,11/5/1980,SMEs-Small& medium enterp-CORP,CA,12/17/2018,12/17/2018
937,AGENCE DE MADAGASCAR       ,C,1/1/1900,SMEs-Small& medium enterp-CORP,RW,10/21/2016,5/28/2019
938,AGENCE DE MADAGASCAR       ,M,1/1/1994,SMEs-Small& medium enterp-CORP,RW,3/11/2019,7/15/2019
939,AGENCE DE MADAGASCAR       ,M,2/14/1988,CORPORATE                     ,RW,2/23/2016,1/1/1900
940,AGENCE DE MADAGASCAR       ,C,1/1/1900,SMEs-Small& medium enterp-CORP,RW,11/17/2014,7/11/2019
941,AGENCE DE MADAGASCAR       ,M,3/21/1981,SMEs-Small& medium enterp-CORP,RW,8/27/2013,11/7/2018
942,AGENCE DE MADAGASCAR       ,M,2/12/1978,RETAIL                        ,RW,11/13/2017,1/23/2018
943,AGENCE DE MADAGASCAR       ,C,1/1/1900,SMEs-Small& medium enterp-CORP,RW,5/17/2017,2/27/2019
944,AGENCE DE MADAGASCAR       ,M,5/24/1986,RETAIL                        ,SY,1/7/2019,2/11/2019
945,AGENCE DE MADAGASCAR       ,M,1/1/1994,RETAIL                        ,RW,9/13/2016,7/8/2019
946,AGENCE DE MADAGASCAR       ,M,1/2/1966,RETAIL                        ,RW,11/26/2015,2/25/2019
947,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,11/3/2014,10/10/2016
948,AGENCE DE MADAGASCAR       ,M,7/5/2014,RETAIL                        ,RW,4/24/2017,7/12/2019
949,AGENCE DE MADAGASCAR       ,M,1/1/1991,RETAIL                        ,RW,6/15/2015,3/29/2018
950,AGENCE DE MADAGASCAR       ,M,10/12/1997,RETAIL                        ,RW,12/11/2017,6/11/2018
951,AGENCE DE MADAGASCAR       ,F,6/9/1986,SMEs-Small& medium enterp-CORP,RW,9/5/2018,11/23/2018
952,AGENCE DE MADAGASCAR       ,M,12/31/1983,SMEs-Small& medium enterp-CORP,RW,12/17/2012,2/23/2017
953,AGENCE DE MADAGASCAR       ,M,1/1/1998,RETAIL                        ,RW,9/17/2018,7/15/2019
954,AGENCE DE MADAGASCAR       ,M,1/1/1993,RETAIL                        ,RW,11/2/2017,7/15/2019
955,AGENCE DE MADAGASCAR       ,F,12/3/1990,RETAIL                        ,RW,3/11/2014,3/29/2019
956,AGENCE DE MADAGASCAR       ,M,6/24/1986,RETAIL                        ,RW,12/3/2012,12/31/2014
957,AGENCE DE MADAGASCAR       ,M,1/1/1975,RETAIL                        ,RW,9/3/2012,10/3/2017
958,AGENCE DE MADAGASCAR       ,F,5/15/1998,RETAIL                        ,KE,5/21/2019,7/8/2019
959,AGENCE DE MADAGASCAR       ,M,10/25/1976,RETAIL                        ,RW,11/5/2012,6/28/2019
960,AGENCE DE MADAGASCAR       ,F,4/16/1992,RETAIL                        ,RW,10/19/2018,7/3/2019
961,AGENCE DE MADAGASCAR       ,F,3/28/1997,RETAIL                        ,RW,5/19/2017,7/15/2019
962,AGENCE DE MADAGASCAR       ,F,1/1/1989,RETAIL                        ,RW,12/20/2018,4/26/2019
963,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,11/4/2014,5/28/2015
964,AGENCE DE MADAGASCAR       ,M,5/19/2000,RETAIL                        ,RW,3/13/2018,8/13/2018
965,AGENCE DE MADAGASCAR       ,M,1/1/1999,RETAIL                        ,RW,8/5/2016,9/6/2017
966,AGENCE DE MADAGASCAR       ,M,3/24/1994,SMEs-Small& medium enterp-CORP,RW,2/12/2018,7/15/2019
967,AGENCE DE MADAGASCAR       ,F,7/18/2013,SMEs-Small& medium enterp-CORP,RW,3/28/2014,11/29/2017
968,AGENCE DE MADAGASCAR       ,F,4/16/1978,RETAIL                        ,UG,8/21/2012,7/10/2019
969,AGENCE DE MADAGASCAR       ,M,4/12/1967,SMEs-Small& medium enterp-CORP,KR,1/6/2015,7/3/2019
970,AGENCE DE MADAGASCAR       ,M,12/28/1975,SMEs-Small& medium enterp-CORP,BI,9/22/2014,7/5/2019
971,AGENCE DE MADAGASCAR       ,F,12/15/1982,RETAIL                        ,RW,3/16/2015,7/30/2015
972,AGENCE DE MADAGASCAR       ,M,1/1/1985,RETAIL                        ,RW,10/31/2013,7/3/2019
973,AGENCE DE MADAGASCAR       ,M,1/1/1980,SMEs-Small& medium enterp-CORP,RW,3/13/2019,7/8/2019
974,AGENCE DE MADAGASCAR       ,M,4/9/1966,RETAIL                        ,RW,11/28/2013,6/29/2017
975,AGENCE DE MADAGASCAR       ,M,5/7/1979,RETAIL                        ,RW,4/23/2014,12/29/2015
976,AGENCE DE MADAGASCAR       ,M,4/7/1971,RETAIL                        ,CN,3/22/2018,3/22/2018
977,AGENCE DE MADAGASCAR       ,F,5/5/1984,RETAIL                        ,CA,10/7/2014,10/10/2016
978,AGENCE DE MADAGASCAR       ,M,6/2/1988,RETAIL                        ,RW,10/4/2017,6/8/2018
979,AGENCE DE MADAGASCAR       ,M,12/28/1970,RETAIL                        ,RW,12/19/2014,1/2/2017
980,AGENCE DE MADAGASCAR       ,F,4/6/1994,RETAIL                        ,RW,9/19/2018,11/19/2018
981,AGENCE DE MADAGASCAR       ,F,12/17/1984,RETAIL                        ,RW,11/27/2018,7/15/2019
982,AGENCE DE MADAGASCAR       ,M,1/1/1981,SMEs-Small& medium enterp-CORP,RW,6/13/2018,1/1/1900
983,AGENCE DE MADAGASCAR       ,M,1/1/1982,SMEs-Small& medium enterp-CORP,RW,7/24/2017,12/28/2018
984,AGENCE DE MADAGASCAR       ,F,1/1/1993,SMEs-Small& medium enterp-CORP,RW,10/18/2018,7/5/2019
985,AGENCE DE MADAGASCAR       ,M,1/1/1965,RETAIL                        ,RW,1/31/2013,9/10/2013
986,AGENCE DE MADAGASCAR       ,M,4/13/1992,RETAIL                        ,RW,1/30/2017,3/28/2017
987,AGENCE DE MADAGASCAR       ,M,7/20/1994,RETAIL                        ,RW,2/12/2014,11/27/2015
988,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,3/15/2018,6/25/2019
989,AGENCE DE MADAGASCAR       ,M,2/26/1974,RETAIL                        ,RW,11/15/2013,9/13/2017
990,AGENCE DE MADAGASCAR       ,M,1/1/1988,RETAIL                        ,RW,3/11/2013,6/30/2014
991,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,8/17/2017,9/18/2017
992,AGENCE DE MADAGASCAR       ,M,1/1/1987,RETAIL                        ,RW,5/6/2016,8/30/2016
993,AGENCE DE MADAGASCAR       ,M,6/20/1984,RETAIL                        ,RW,5/9/2013,10/27/2016
994,AGENCE DE MADAGASCAR       ,F,5/15/1994,RETAIL                        ,RW,11/2/2017,7/9/2019
995,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,8/19/2013,5/28/2015
996,AGENCE DE MADAGASCAR       ,M,12/26/1982,RETAIL                        ,RW,2/4/2013,1/5/2016
997,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,5/10/2018,7/15/2019
998,AGENCE DE MADAGASCAR       ,M,1/1/1986,RETAIL                        ,RW,5/24/2019,7/11/2019
999,AGENCE DE MADAGASCAR       ,M,1/1/1983,RETAIL                        ,RW,11/24/2015,12/17/2018
1000,AGENCE DE MADAGASCAR       ,M,6/9/1982,RETAIL                        ,RW,7/17/2017,7/1/2019
1001,AGENCE DE MADAGASCAR       ,M,7/7/1979,RETAIL                        ,RW,11/28/2014,1/2/2017
1002,AGENCE DE MADAGASCAR       ,M,11/11/1990,RETAIL                        ,RW,6/17/2019,7/15/2019
1003,AGENCE DE MADAGASCAR       ,M,1/1/1982,RETAIL                        ,RW,4/3/2019,7/9/2019
1004,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,12/3/2013,2/5/2019
1005,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,12/7/2012,11/27/2015
1006,AGENCE DE MADAGASCAR       ,F,1/1/1961,RETAIL                        ,RW,1/18/2017,4/4/2017
1007,AGENCE DE MADAGASCAR       ,M,1/1/1985,RETAIL                        ,RW,4/24/2019,7/11/2019
1008,AGENCE DE MADAGASCAR       ,F,12/12/1993,RETAIL                        ,RW,7/11/2017,1/1/1900
1009,AGENCE DE MADAGASCAR       ,M,10/30/1994,RETAIL                        ,NG,4/16/2018,5/18/2018
1010,AGENCE DE MADAGASCAR       ,M,1/12/1977,RETAIL                        ,TR,2/1/2017,9/7/2017
1011,AGENCE DE MADAGASCAR       ,M,7/30/1993,RETAIL                        ,RW,7/11/2017,7/17/2017
1012,AGENCE DE MADAGASCAR       ,M,1/1/1978,RETAIL                        ,RW,8/3/2016,1/10/2019
1013,AGENCE DE MADAGASCAR       ,M,4/4/1994,RETAIL                        ,RW,10/25/2017,11/9/2018
1014,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,3/28/2014,6/22/2015
1015,AGENCE DE MADAGASCAR       ,F,3/5/1989,RETAIL                        ,RW,8/22/2016,7/15/2019
1016,AGENCE DE MADAGASCAR       ,C,1/1/1900,RETAIL                        ,RW,2/10/2017,6/19/2017
1017,AGENCE DE MADAGASCAR       ,M,1/1/1983,RETAIL                        ,CD,5/29/2019,7/10/2019
1018,AGENCE DE MADAGASCAR       ,M,1/1/1989,RETAIL                        ,RW,6/12/2014,2/10/2016
1019,AGENCE DE MADAGASCAR       ,M,1/1/1979,RETAIL                        ,RW,6/20/2014,2/22/2019
1020,AGENCE DE MADAGASCAR       ,M,1/1/1984,RETAIL                        ,RW,11/20/2018,5/17/2019
1021,AGENCE DE MADAGASCAR       ,M,6/26/1981,RETAIL                        ,RW,10/24/2012,2/26/2014
1022,AGENCE DE MADAGASCAR       ,F,1/1/1992,RETAIL                        ,RW,8/24/2018,5/30/2019
1023,AGENCE DE MADAGASCAR       ,M,1/17/1984,RETAIL                        ,RW,8/6/2012,1/21/2016
